id,grad_year,"degree","exp_level","career_field"
5296,2010,"Bachelor of Arts","Education and Training","Entry Level"
5297,2003,"Medical Assistant Certificate","Retail","Entry Level"
5298,1994,"GCSE","Administrative Support","Experienced (Non-Managerial)"
5299,2014,"Bachelors of Business","Marketing, Advertising and PR","Student"
5300,2007,"","Customer Service","Entry Level"
5301,2007,"GED","Customer Service","Entry Level"
5302,0,"0","Retail","Manager"
5303,1962,"","Business","Experienced (Non-Managerial)"
5304,2013,"","Customer Service","Student"
5305,2006,"Pharm. D","Pharmacy","Manager"
5306,0,"High School Diploma","Customer Service","Manager"
5307,2018,"Bachelor of Science","Engineering","Student"
5308,2000,"Associates Degree","0","Entry Level"
5309,2004,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
5310,0,"","Construction","0"
5311,0,"High School Diploma","Sales","Experienced (Non-Managerial)"
5312,2004,"","Trades","Experienced (Non-Managerial)"
5313,2002,"Bachelor of Science","Education and Training","Entry Level"
5314,1986,"High School Diploma","Retail","Manager"
5315,1992,"Diploma Hospital Based Program","Healthcare","Experienced (Non-Managerial)"
5316,2001,"NVQ Level 2&3","Construction","Manager"
5317,0,"","Retail","Experienced (Non-Managerial)"
5318,1996,"High School Diploma","Law Enforcement and Security","Entry Level"
5319,0,"0","0","Manager"
5320,0,"Associate of Science","Management","Executive"
5321,2009,"High School Diploma","0","0"
5322,2006,"Associate of Science","Nursing","Experienced (Non-Managerial)"
5323,2012,"High School Diploma","Healthcare","Student"
5324,1997,"","Manufacturing and Production","Experienced (Non-Managerial)"
5325,1997,"High School Diploma","Healthcare","Entry Level"
5326,2007,"Associate of Applied Science","Administrative Support","Experienced (Non-Managerial)"
5327,0,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
5328,0,"B.S","Computers and Technology","Manager"
5329,1973,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
5330,1994,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
5331,0,"0","Sales","Manager"
5332,1997,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
5333,1988,"Bachelor of Business Administration","Banking and Financial Services","Manager"
5334,0,"","Healthcare","Experienced (Non-Managerial)"
5335,2013,"BETC","Military","Student"
5336,0,"Currently enrolled","Marketing, Advertising and PR","Entry Level"
5337,1990,"Bachelor of Arts","Business","Manager"
5338,0,"Bachelor of Arts","Sales","Experienced (Non-Managerial)"
5339,1984,"High School Diploma","Management","Experienced (Non-Managerial)"
5340,2013,"High School Diploma","Customer Service","Student"
5341,2013,"High School Diploma","Healthcare","Student"
5342,0,"Associate of Arts Degree","0","Manager"
5343,2006,"High School Diploma","Food and Beverage","Manager"
5344,2011,"High School Diploma","Trades","Experienced (Non-Managerial)"
5345,2014,"Master of Science","Accounting and Finance","Student"
5346,1973,"Bachelor of Science","Sales","Experienced (Non-Managerial)"
5347,2015,"Associate of Science","Accounting and Finance","Entry Level"
5348,0,"","Insurance","Entry Level"
5349,1987,"","Business","Experienced (Non-Managerial)"
5350,0,"0","0","Entry Level"
5351,1996,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
5352,1972,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
5353,1988,"High School Diploma","Administrative Support","Manager"
5354,2011,"","Installation and Maintenance","Entry Level"
5355,2015,"Associate of Science","Human Resources","Manager"
5356,1976,"High School Diploma","Accounting and Finance","Executive"
5357,1982,"Education","Administrative Support","Experienced (Non-Managerial)"
5358,0,"0","Banking and Financial Services","Experienced (Non-Managerial)"
5359,1981,"High School Diploma","Trades","Experienced (Non-Managerial)"
5360,8,"CMT","0","0"
5361,0,"0","0","Experienced (Non-Managerial)"
5362,0,"0","Manufacturing and Production","Experienced (Non-Managerial)"
5363,1982,"Diploma","Customer Service","Experienced (Non-Managerial)"
5364,0,"Associates of Applied Science","Accounting and Finance","Experienced (Non-Managerial)"
5365,1978,"High School Diploma","Accounting and Finance","Experienced (Non-Managerial)"
5366,1993,"High School Diploma","Pharmacy","Experienced (Non-Managerial)"
5367,2012,"Certificate","Manufacturing and Production","Entry Level"
5368,0,"Bachelor of Arts","Customer Service","Experienced (Non-Managerial)"
5369,2013,"High School Diploma","Customer Service","Entry Level"
5370,1989,"Bachelor of Arts","Education and Training","Entry Level"
5371,1976,"Bachelor of Arts","Fitness and Recreation","Entry Level"
5372,2000,"B.A.","Engineering","Manager"
5373,0,"Associate of Applied Science","Customer Service","Entry Level"
5374,1977,"Associate of Arts","Sales","Experienced (Non-Managerial)"
5375,2013,"","Healthcare","Entry Level"
5376,2010,"High School Diploma","Sales","Entry Level"
5377,0,"","Retail","Manager"
5378,2002,"High School Diploma","0","Experienced (Non-Managerial)"
5379,2001,"High School Diploma","Manufacturing and Production","Entry Level"
5380,1989,"High School Diploma","Customer Service","Manager"
5381,2013,"Associates","Administrative Support","Experienced (Non-Managerial)"
5382,2008,"0","Sales","Experienced (Non-Managerial)"
5383,2012,"","0","Student"
5384,1987,"High School Diploma","0","0"
5385,2015,"High School Diploma","Sales","Student"
5386,0,"The Academy of Court Reporting and Legal Studies","Administrative Support","Experienced (Non-Managerial)"
5387,0,"0","0","0"
5388,0,"","0","0"
5389,2010,"GED","Customer Service","Experienced (Non-Managerial)"
5390,2003,"Associate of Arts","Administrative Support","Manager"
5391,0,"Associate Degree","Administrative Support","Executive"
5392,2000,"High School Diploma","Healthcare","Manager"
5393,2009,"High School Diploma","Banking and Financial Services","Entry Level"
5394,0,"","Construction","Manager"
5395,0,"","Food and Beverage","Student"
5396,2014,"Bachelor of Science","Accounting and Finance","Experienced (Non-Managerial)"
5397,2012,"High School Diploma","0","0"
5398,2003,"High School Diploma","0","Experienced (Non-Managerial)"
5399,2004,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
5400,2003,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
5401,2013,"Bachelor of Science","Engineering","Entry Level"
5402,0,"","0","Manager"
5403,2009,"Masters ","Food and Beverage","Student"
5404,2009,"High School Diploma","0","0"
5405,2006,"","0","0"
5406,0,"0","0","Experienced (Non-Managerial)"
5407,0,"","Nursing","Student"
5408,0,"0","Food and Beverage","Experienced (Non-Managerial)"
5409,0,"","Management","Experienced (Non-Managerial)"
5410,0,"0","Customer Service","Manager"
5411,2010,"High School Diploma","Banking and Financial Services","Entry Level"
5412,0,"0","Nursing","Experienced (Non-Managerial)"
5413,5,"Masters of Science","Humanities and Liberal Arts","Experienced (Non-Managerial)"
5414,2008,"Advanced Regents Diploma","Administrative Support","Experienced (Non-Managerial)"
5415,2014,"High School Diploma","0","Student"
5416,2013,"GED","Retail","Experienced (Non-Managerial)"
5417,0,"none","Transportation and Distribution","Experienced (Non-Managerial)"
5418,0,"High School Diploma","Food and Beverage","Student"
5419,2012,"High School Diploma","Retail","Student"
5420,2014,"High School Diploma","Nursing","Student"
5421,2015,"High School Diploma","Retail","Student"
5422,2003,"GCSE","Healthcare","Experienced (Non-Managerial)"
5423,0,"0","Banking and Financial Services","Experienced (Non-Managerial)"
5424,2013,"Associate of Science","Telecommunications and Wireless","Entry Level"
5425,0,"3 years Management Certificate","Customer Service","Manager"
5426,0,"0","Administrative Support","Experienced (Non-Managerial)"
5427,1997,"Doctor of Chiropractic","Healthcare","Experienced (Non-Managerial)"
5428,0,"Currently Enrolled","Engineering","Entry Level"
5429,2005,"High School Diploma","Healthcare","Entry Level"
5430,0,"0","Construction","Entry Level"
5431,1991,"POP-A-LOCK, Training course PORTLAND, OR.<br> CERTIFICATE JAN,12,05","Manufacturing and Production","Experienced (Non-Managerial)"
5432,1985,"High School Diploma","Trades","Experienced (Non-Managerial)"
5433,0,"","Computers and Technology","Experienced (Non-Managerial)"
5434,0,"","Law Enforcement and Security","Experienced (Non-Managerial)"
5435,1980,"Bachelor of Arts","Telecommunications and Wireless","Experienced (Non-Managerial)"
5436,2010,"Certificate of Completion","Healthcare","Entry Level"
5437,2008,"High School Diploma","Beauty and Spa","Student"
5438,1991,"","Food and Beverage","Experienced (Non-Managerial)"
5439,2014,"Degree","Healthcare","Student"
5440,2012,"Certificate of Completion","Administrative Support","Entry Level"
5441,1997,"","Healthcare","Experienced (Non-Managerial)"
5442,2010,"GED","Retail","Experienced (Non-Managerial)"
5443,0,"","Business","Manager"
5444,1985,"Master of International Management","Banking and Financial Services","Experienced (Non-Managerial)"
5445,2012,"Ongoing Education","Marketing, Advertising and PR","Manager"
5446,2014,"High School Diploma","Food and Beverage","Student"
5447,0,"0","0","Student"
5448,2010,"Certificate","Healthcare","Experienced (Non-Managerial)"
5449,2001,"","Manufacturing and Production","Experienced (Non-Managerial)"
5450,1995,"High School Diploma","Construction","Experienced (Non-Managerial)"
5451,1983,"","Transportation and Distribution","Experienced (Non-Managerial)"
5452,0,"0","Education and Training","Experienced (Non-Managerial)"
5453,1986,"","Real Estate","Manager"
5454,2012,"High School Diploma","Business","Student"
5455,2012,"Bachelor of Arts","Accounting and Finance","Executive"
5456,1981,"","Entertainment and Media","Manager"
5457,1972,"GCSE","Administrative Support","Experienced (Non-Managerial)"
5458,0,"High School Diploma","Retail","Student"
5459,0,"0","Human Resources","Experienced (Non-Managerial)"
5460,1994,"National Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
5461,0,"Associate of Science","0","Student"
5462,2011,"MBA","Transportation and Distribution","Entry Level"
5463,2013,"","Art, Fashion and Design","Entry Level"
5464,1977,"High School Diploma","Business","Experienced (Non-Managerial)"
5465,2010,"NVQ","Construction","Experienced (Non-Managerial)"
5466,2000,"High School Diploma","Travel and Hospitality","Experienced (Non-Managerial)"
5467,1981,"Bachelor of Nursing","Nursing","Experienced (Non-Managerial)"
5468,2007,"Bachelor of Arts","Education and Training","0"
5469,1992,"High School Diploma","Nursing","Experienced (Non-Managerial)"
5470,1984,"Grades A to C","0","0"
5471,1984,"Cosmetologist","Banking and Financial Services","Entry Level"
5472,2000,"Diploma","Food and Beverage","Manager"
5473,2009,"Science of Nursing and pursued my career in the emergency department at Oaklawn Hospital in Marshall, Michigan. In 2007 I","Law Enforcement and Security","Experienced (Non-Managerial)"
5474,1989,"High School Diploma","Construction","Experienced (Non-Managerial)"
5475,1998,"Associate of Science","Healthcare","Manager"
5476,2005,"","Education and Training","Student"
5477,0,"","Food and Beverage","Student"
5478,1968,"","Accounting and Finance","Experienced (Non-Managerial)"
5479,0,"Associate of Occupational Studies","Pharmacy","Experienced (Non-Managerial)"
5480,0,"","Customer Service","Experienced (Non-Managerial)"
5481,1996,"High School Diploma","Construction","Experienced (Non-Managerial)"
5482,2001,"High School Diploma","Food and Beverage","Manager"
5483,93,"Select One","Government","Experienced (Non-Managerial)"
5484,0,"0","Accounting and Finance","Experienced (Non-Managerial)"
5485,0,"0","Telecommunications and Wireless","Manager"
5486,2008,"High School Diploma","Construction","Entry Level"
5487,0,"","Manufacturing and Production","Entry Level"
5488,2002,"High School Diploma","Banking and Financial Services","Experienced (Non-Managerial)"
5489,2016,"","Food and Beverage","Student"
5490,2015,"High School Diploma","Retail","Entry Level"
5491,0,"","Military","Experienced (Non-Managerial)"
5492,2013,"Master of Science","Healthcare","Entry Level"
5493,2013,"","Beauty and Spa","Experienced (Non-Managerial)"
5494,0,"High School Diploma","Sales","Experienced (Non-Managerial)"
5495,0,"High School Diploma","Customer Service","Entry Level"
5496,2005,"High School Diploma","Retail","Experienced (Non-Managerial)"
5497,2017,"Bachelor of Science","0","Student"
5498,0,"Some College","Management","Manager"
5499,2015,"Associates Degree and Step II Certificate","Manufacturing and Production","Student"
5500,2014,"Bachelor of Arts","Customer Service","Student"
5501,2002,"CERTIFICATION","Manufacturing and Production","Entry Level"
5502,0,"Associate of Arts","Customer Service","Manager"
5503,0,"Associates","Administrative Support","Entry Level"
5504,2015,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
5505,1992,"High School Diploma","Food and Beverage","Entry Level"
5506,0,"0","Marketing, Advertising and PR","Executive"
5507,0,"","Computers and Technology","Student"
5508,2005,"Associate of Science","Manufacturing and Production","Experienced (Non-Managerial)"
5509,1973,"Bachelor of Science","0","Experienced (Non-Managerial)"
5510,1995,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
5511,0,"0","Education and Training","Student"
5512,2005,"Heating, Air Conditioning and Refrigeration","Trades","Entry Level"
5513,0,"Bachelor of Science","Human Resources","Student"
5514,0,"Certificate","Administrative Support","Experienced (Non-Managerial)"
5515,2008,"High School Diploma","Construction","Experienced (Non-Managerial)"
5516,1996,"GED","Healthcare","Entry Level"
5517,2011,"","Retail","Experienced (Non-Managerial)"
5518,2015,"","Marketing, Advertising and PR","Student"
5519,0,"0","Business","Experienced (Non-Managerial)"
5520,0,"0","0","Experienced (Non-Managerial)"
5521,0,"","0","Student"
5522,0,"0","0","Experienced (Non-Managerial)"
5523,2013,"High School Diploma","Entertainment and Media","Student"
5524,1982,"Associate of Arts","Retail","Experienced (Non-Managerial)"
5525,0,"GED","Customer Service","Experienced (Non-Managerial)"
5526,2009,"","Personal Services","Experienced (Non-Managerial)"
5527,0,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
5528,2008,"Associate of Arts","Installation and Maintenance","Experienced (Non-Managerial)"
5529,1985,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
5530,0,"High School Diploma","Nursing","Experienced (Non-Managerial)"
5531,0,"0","Business","Manager"
5532,2001,"","Nursing","Student"
5533,0,"","Nursing","Student"
5534,0,"Certified Herrmann Brain Dominance Instrument (HBDI) Thinking Styles Practitioner  Certified Birkman Method Practitioner  Certified PROSCI Change Management Practitioner","Management","Executive"
5535,1981,"","0","0"
5536,0,"NONE","Manufacturing and Production","Experienced (Non-Managerial)"
5537,1997,"Bachelor of Arts","Human Resources","Experienced (Non-Managerial)"
5538,0,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
5539,2013,"CDL A  ","Transportation and Distribution","Entry Level"
5540,1978,"High School Diploma","Human Resources","Manager"
5541,0,"0","Food and Beverage","Experienced (Non-Managerial)"
5542,1985,"","Healthcare","Experienced (Non-Managerial)"
5543,0,"","Healthcare","Experienced (Non-Managerial)"
5544,0,"High School Diploma","Healthcare","Entry Level"
5545,2012,"High School Diploma","Food and Beverage","Entry Level"
5546,1998,"Associate of Science","Retail","Entry Level"
5547,2013,"Bachelor of Arts","Healthcare","Experienced (Non-Managerial)"
5548,2004,"Diploma","Nursing","Experienced (Non-Managerial)"
5549,1984,"GED","Retail","Manager"
5550,2013,"MSW","Social Sciences","Entry Level"
5551,0,"","Retail","Experienced (Non-Managerial)"
5552,0,"Bachelor of Arts","Humanities and Liberal Arts","Entry Level"
5553,1993,"Culinary Arts Certificate","Food and Beverage","Executive"
5554,1990,"Cerificate in Accounting","Customer Service","Experienced (Non-Managerial)"
5555,2011,"High School Diploma","Community and Public Service","Student"
5556,0,"0","Accounting and Finance","Student"
5557,0,"Diploma","0","0"
5558,1987,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
5559,2010,"High School Diploma","Customer Service","Student"
5560,1973,"High School Diploma","Retail","Experienced (Non-Managerial)"
5561,2003,"High School Diploma","Banking and Financial Services","Experienced (Non-Managerial)"
5562,0,"0","Administrative Support","Manager"
5563,85,"Associate of Science","Trades","Experienced (Non-Managerial)"
5564,0,"0","0","Experienced (Non-Managerial)"
5565,2005,"High School Diploma","Travel and Hospitality","Experienced (Non-Managerial)"
5566,2011,"High School Diploma","Management","Entry Level"
5567,1999,"High School Diploma","Sales","Experienced (Non-Managerial)"
5568,2013,"","Healthcare","Entry Level"
5569,1994,"NVQ","Engineering","Experienced (Non-Managerial)"
5570,2014,"Level 3","Beauty and Spa","Experienced (Non-Managerial)"
5571,2010,"Diploma Of Commerce","Accounting and Finance","Experienced (Non-Managerial)"
5572,1997,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
5573,2011,"BA LLB (HONS)","Legal","Executive"
5574,2012,"High School Diploma","Beauty and Spa","Student"
5575,2009,"","Customer Service","Experienced (Non-Managerial)"
5576,1988,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
5577,2017,"","0","0"
5578,0,"Master of Arts","Education and Training","Experienced (Non-Managerial)"
5579,2013,"High School Diploma","Sales","Student"
5580,1993,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
5581,1988,"GED","Healthcare","Entry Level"
5582,2006,"High School Diploma","Retail","Manager"
5583,1981,"High School Diploma","Education and Training","Experienced (Non-Managerial)"
5584,0,"GED","Healthcare","Entry Level"
5585,2015,"Bachelor of Science","Education and Training","Student"
5586,0,"0","0","Entry Level"
5587,1985,"High School Diploma","Healthcare","Entry Level"
5588,0,"0","Sales","Experienced (Non-Managerial)"
5589,1994,"Bachelor of Arts","Accounting and Finance","Experienced (Non-Managerial)"
5590,0,"","Installation and Maintenance","Experienced (Non-Managerial)"
5591,2005,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
5592,0,"n/a","Retail","Manager"
5593,0,"High School Diploma","Computers and Technology","Manager"
5594,2014,"Associate of Science","Healthcare","Student"
5595,1995,"Floral Certificate","Retail","Manager"
5596,0,"0","Administrative Support","Experienced (Non-Managerial)"
5597,10,"","0","Student"
5598,1994,"Associate of Science","Transportation and Distribution","Manager"
5599,2013,"High School Diploma","Personal Services","Entry Level"
5600,2015,"PTA (Physical Therapy Assistant)","Military","Experienced (Non-Managerial)"
5601,1993,"Master of Science","Psychology","Experienced (Non-Managerial)"
5602,2006,"","Business","Experienced (Non-Managerial)"
5603,2004,"Bachelor of Arts","Government","Experienced (Non-Managerial)"
5604,2010,"High School Diploma","Government","Entry Level"
5605,2015,"High School Diploma","Business","Student"
5606,0,"Masters of Arts","Administrative Support","Entry Level"
5607,2007,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
5608,2005,"GED","Food and Beverage","Experienced (Non-Managerial)"
5609,1998,"High School Diploma","Construction","Entry Level"
5610,2014,"Bachelor of Arts","Education and Training","Entry Level"
5611,2014,"Associate of Arts","Retail","Student"
5612,2013,"High School Diploma","Retail","Student"
5613,1996,"High School Diploma","Business","Experienced (Non-Managerial)"
5614,2007,"High School Diploma","Trades","Entry Level"
5615,0,"","0","Student"
5616,0,"0","0","Student"
5617,0,"0","0","Entry Level"
5618,0,"Bachelor of Science","Administrative Support","Entry Level"
5619,2000,"","Law Enforcement and Security","Manager"
5620,1986,"High School Diploma","Telecommunications and Wireless","Experienced (Non-Managerial)"
5621,2013,"Bachelor of Science","Natural Resources and Agriculture","Entry Level"
5622,2011,"BBA","Management","Manager"
5623,2010,"Bachelor of Arts","Government","Entry Level"
5624,0,"0","Healthcare","Experienced (Non-Managerial)"
5625,1995,"High School Diploma","Administrative Support","Entry Level"
5626,1985,"","Nursing","Experienced (Non-Managerial)"
5627,2012,"Bachelor of Arts","Education and Training","Entry Level"
5628,1982,"","Administrative Support","Experienced (Non-Managerial)"
5629,2012,"High School Diploma","Trades","Experienced (Non-Managerial)"
5630,2002,"Master of Science","Education and Training","Experienced (Non-Managerial)"
5631,0,"","Transportation and Distribution","Entry Level"
5632,2009,"","Computers and Technology","Experienced (Non-Managerial)"
5633,0,"0","Healthcare","Experienced (Non-Managerial)"
5634,0,"0","Customer Service","Experienced (Non-Managerial)"
5635,0,"Bachelor of Science","Food and Beverage","Executive"
5636,2013,"Bachelor of Science","Human Resources","Experienced (Non-Managerial)"
5637,2009,"GED","Installation and Maintenance","Entry Level"
5638,0,"","Administrative Support","Experienced (Non-Managerial)"
5639,0,"Certificate","Banking and Financial Services","Experienced (Non-Managerial)"
5640,2015,"BBA","Business","Student"
5641,1996,"","Healthcare","Experienced (Non-Managerial)"
5642,2007,"Associate","Trades","Manager"
5643,2014,"Bachelor of Science","Law Enforcement and Security","Student"
5644,0,"Master of Science","Computers and Technology","Experienced (Non-Managerial)"
5645,2012,"","Sales","Experienced (Non-Managerial)"
5646,2002,"Associate of Applied Science","Healthcare","Entry Level"
5647,2006,"Certifcations","Healthcare","Experienced (Non-Managerial)"
5648,2013,"","Dental","Experienced (Non-Managerial)"
5649,2015,"Bachelor of Arts","Business","Student"
5650,2013,"High School Diploma","Sales","Student"
5651,0,"0","Construction","Experienced (Non-Managerial)"
5652,2008,"Certificate","Fitness and Recreation","Experienced (Non-Managerial)"
5653,0,"MSN","Nursing","Experienced (Non-Managerial)"
5654,0,"0","Customer Service","Manager"
5655,2013,"Bachelor of Science","Psychology","Entry Level"
5656,1997,"Associate of Science","Construction","Experienced (Non-Managerial)"
5657,2001,"","Computers and Technology","Experienced (Non-Managerial)"
5658,2002,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
5659,0,"","Healthcare","Experienced (Non-Managerial)"
5660,2006,"Medical Assistant Certificate","Healthcare","Experienced (Non-Managerial)"
5661,2001,"Associate of Science","Administrative Support","Experienced (Non-Managerial)"
5662,11,"","Construction","Experienced (Non-Managerial)"
5663,0,"GED","Accounting and Finance","Experienced (Non-Managerial)"
5664,2009,"Bachelor of Arts","Food and Beverage","Student"
5665,0,"0","Trades","Experienced (Non-Managerial)"
5666,2013,"Bachelor of Arts","Telecommunications and Wireless","Student"
5667,0,"Associate of Applied Science","Retail","Experienced (Non-Managerial)"
5668,2010,"High School Diploma","Manufacturing and Production","Entry Level"
5669,2006,"Master of Public Adminstration (MPA)","Construction","Experienced (Non-Managerial)"
5670,0,"0","Sales","Experienced (Non-Managerial)"
5671,2008,"High School Diploma","Customer Service","Entry Level"
5672,2017,"Bachelor of Science","0","Student"
5673,0,"0","0","0"
5674,0,"","Retail","Manager"
5675,1985,"College","Business","Experienced (Non-Managerial)"
5676,1992,"","Manufacturing and Production","Experienced (Non-Managerial)"
5677,2011,"High School Diploma","Marketing, Advertising and PR","Student"
5678,2011,"High School Diploma","Transportation and Distribution","0"
5679,2012,"","0","Student"
5680,2004,"Practical Nursing Diploma","Nursing","Experienced (Non-Managerial)"
5681,0,"","Accounting and Finance","Manager"
5682,1973,"High School Diploma","0","0"
5683,2004,"","Natural Resources and Agriculture","Entry Level"
5684,2002,"NCSC          Mansfield, OHCommunity Care Coordinator Certification","Customer Service","Experienced (Non-Managerial)"
5685,2013,"GCSE","Construction","Student"
5686,0,"0","Retail","Entry Level"
5687,1990,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
5688,2003,"A-Levels","Customer Service","Manager"
5689,0,"0","0","0"
5690,2014,"Bachelor of Arts","Marketing, Advertising and PR","Student"
5691,1998,"High School Diploma","Sales","Experienced (Non-Managerial)"
5692,2001,"Associate of Arts","Customer Service","Experienced (Non-Managerial)"
5693,2014,"","0","Student"
5694,1990,"Certificate","Customer Service","Experienced (Non-Managerial)"
5695,0,"","Retail","Student"
5696,0,"0","0","Experienced (Non-Managerial)"
5697,1997,"GCSE","Education and Training","Experienced (Non-Managerial)"
5698,2008,"High School Diploma","Natural Resources and Agriculture","Entry Level"
5699,1993,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
5700,0,"","Childcare","Experienced (Non-Managerial)"
5701,2010,"High School Diploma","Sales","Student"
5702,1995,"General Academic Studies Degree","Customer Service","Experienced (Non-Managerial)"
5703,2012,"","Retail","Entry Level"
5704,2007," N.V.Q 2","Childcare","Student"
5705,2012,"Universite (Lisans)","0","Entry Level"
5706,2010,"Level 3 Diploma","Fitness and Recreation","Experienced (Non-Managerial)"
5707,0,"0","Management","Manager"
5708,1996,"Master of Arts","Healthcare","Experienced (Non-Managerial)"
5709,2006,"High School Diploma","Healthcare","Student"
5710,1996,"licensure for nursing LPN","Nursing","Experienced (Non-Managerial)"
5711,2011,"High School Diploma","Business","Student"
5712,2011,"Bachelor of Science","Accounting and Finance","Student"
5713,0,"0","Sales","Experienced (Non-Managerial)"
5714,2001,"Associate of Science","Food and Beverage","Experienced (Non-Managerial)"
5715,2013,"BA","Human Resources","Student"
5716,2003,"Bachelor of Science","Military","Experienced (Non-Managerial)"
5717,0,"0","Science","Experienced (Non-Managerial)"
5718,2010,"High School Diploma","Accounting and Finance","Experienced (Non-Managerial)"
5719,1993,"Practical Nurse","Nursing","Experienced (Non-Managerial)"
5720,0,"short certificate","Childcare","Experienced (Non-Managerial)"
5721,1980,"High School Diploma","Customer Service","Entry Level"
5722,0,"Ph.D","Engineering","Student"
5723,0,"0","Sales","Experienced (Non-Managerial)"
5724,2012,"High School Diploma","Pharmacy","Student"
5725,1997,"BBA","0","0"
5726,1980,"High School Diploma","Trades","Experienced (Non-Managerial)"
5727,2010,"Associates","Retail","Experienced (Non-Managerial)"
5728,0,"0","Customer Service","Experienced (Non-Managerial)"
5729,2013,"","Customer Service","Student"
5730,0,"0","0","Experienced (Non-Managerial)"
5731,1984,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
5732,1973,"Bachelor of Arts","Education and Training","Experienced (Non-Managerial)"
5733,1985,"","Transportation and Distribution","Experienced (Non-Managerial)"
5734,0,"Associate of Science","Real Estate","Manager"
5735,0,"","Customer Service","Experienced (Non-Managerial)"
5736,2009,"Associate of Arts","Community and Public Service","0"
5737,0,"not completed","Healthcare","Experienced (Non-Managerial)"
5738,2013,"High School Diploma","Business","Student"
5739,2001,"","Transportation and Distribution","Experienced (Non-Managerial)"
5740,0,"0","Sales","Experienced (Non-Managerial)"
5741,2011,"BBA","Entertainment and Media","Experienced (Non-Managerial)"
5742,0,"0","0","Experienced (Non-Managerial)"
5743,2014,"Bachelor of Science","Marketing, Advertising and PR","Student"
5744,2001,"","Nursing","Experienced (Non-Managerial)"
5745,2001,"High School Diploma","Trades","Experienced (Non-Managerial)"
5746,2016,"","Food and Beverage","Experienced (Non-Managerial)"
5747,2012,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
5748,0,"","Dental","Entry Level"
5749,2007,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
5750,2015,"","0","Manager"
5751,1978,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
5752,2012,"High School Diploma","Manufacturing and Production","Student"
5753,1968,"License","Nursing","Experienced (Non-Managerial)"
5754,2011,"Associate of Arts","Installation and Maintenance","Experienced (Non-Managerial)"
5755,1996,"GED","Manufacturing and Production","Entry Level"
5756,2011,"High School Diploma","Sales","Student"
5757,0,"0","Management","0"
5758,2008,"Associate of Science","Manufacturing and Production","Experienced (Non-Managerial)"
5759,1989,"High School Diploma","Trades","Experienced (Non-Managerial)"
5760,1978,"Electrical Engineering ","Trades","Experienced (Non-Managerial)"
5761,1994,"High School Diploma","0","Entry Level"
5762,0,"0","Entertainment and Media","Entry Level"
5763,2002,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
5764,0,"","Healthcare","Experienced (Non-Managerial)"
5765,2015,"Associate of Arts","Marketing, Advertising and PR","Manager"
5766,1985,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
5767,0,"0","Transportation and Distribution","Experienced (Non-Managerial)"
5768,2008,"Bachelor of Arts","Community and Public Service","Experienced (Non-Managerial)"
5769,2000,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
5770,0,"High School Diploma","Nursing","Experienced (Non-Managerial)"
5771,1999,"Master of Science","Community and Public Service","Experienced (Non-Managerial)"
5772,0,"Associate of Science","Customer Service","Experienced (Non-Managerial)"
5773,0,"","Government","Entry Level"
5774,1983,"High School Diploma","0","Experienced (Non-Managerial)"
5775,2004,"Foundation & Intermediate","Accounting and Finance","Experienced (Non-Managerial)"
5776,0,"0","Business","Entry Level"
5777,2007,"BA","Beauty and Spa","Student"
5778,2009,"Certificate","Transportation and Distribution","Experienced (Non-Managerial)"
5779,2008,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
5780,2000,"In the lower-division baccalaureate/associate degree category, 3 semester hours in quantity food preparation, 2 in sanitation, 2 in store room procedures, 3 in introduction to food service systems, 1 in culinary nutrition, 1 in culinary math, 1 in dining ","Customer Service","Manager"
